raceplace,var_name,group,beta,se,varName,model
6,age5,MCI,.3649056,.067177653,age5,ASE Adj Model
1,1.alcprob,Dementia,2.2752008,1.0951701,,All adjustors
2,1.alcprob,Dementia,-.52019137,.74637341,,All adjustors
3,1.alcprob,Dementia,1.6391288,.42486149,,All adjustors
4,1.alcprob,Dementia,.5106765,.52160674,,All adjustors
5,1.alcprob,Dementia,-1.1843519,13916.455,,All adjustors
6,1.alcprob,Dementia,-.49961475,1.1329931,,All adjustors
1,1.bmigte30,Dementia,-.15823288,.2905502,,All adjustors
2,1.bmigte30,Dementia,-.65005821,.42205197,,All adjustors
3,1.bmigte30,Dementia,.49159679,.32034683,,All adjustors
4,1.bmigte30,Dementia,-.61733454,.58073008,,All adjustors
5,1.bmigte30,Dementia,-55.528881,18882.34,,All adjustors
6,1.bmigte30,Dementia,-.73690498,.29215378,,All adjustors
1,1.cvdhx,Dementia,.07757321,.2571277,,All adjustors
2,1.cvdhx,Dementia,.46291196,.39677817,,All adjustors
3,1.cvdhx,Dementia,.36083624,.34969786,,All adjustors
4,1.cvdhx,Dementia,.48020414,.45527112,,All adjustors
5,1.cvdhx,Dementia,-94.345955,36823.672,,All adjustors
6,1.cvdhx,Dementia,.33494207,.38178253,,All adjustors
1,1.educ_lths,Dementia,1.3541238,.26684356,,All adjustors
2,1.educ_lths,Dementia,-.40324071,1.0632479,,All adjustors
3,1.educ_lths,Dementia,.83784145,.29926476,,All adjustors
4,1.educ_lths,Dementia,.51777452,.6348961,,All adjustors
5,1.educ_lths,Dementia,5.2242236,14774.299,,All adjustors
6,1.educ_lths,Dementia,.78747898,.26483679,,All adjustors
1,1.eversmoked,Dementia,-.18378803,.24734785,,All adjustors
2,1.eversmoked,Dementia,-.15322849,.33384863,,All adjustors
3,1.eversmoked,Dementia,-.49175501,.29735646,,All adjustors
4,1.eversmoked,Dementia,.33886635,.45151281,,All adjustors
5,1.eversmoked,Dementia,-18.900402,11846.337,,All adjustors
6,1.eversmoked,Dementia,-.40408248,.2747665,,All adjustors
1,1.fxdementia,Dementia,.28370845,.2555871,,All adjustors
2,1.fxdementia,Dementia,2.098069,.35394728,,All adjustors
3,1.fxdementia,Dementia,1.690833,.32472068,,All adjustors
4,1.fxdementia,Dementia,2.0116036,.44464192,,All adjustors
5,1.fxdementia,Dementia,-26.549187,35830.031,,All adjustors
6,1.fxdementia,Dementia,1.6864002,.37052029,,All adjustors
1,1.male,Dementia,.53499079,.28585258,,All adjustors
2,1.male,Dementia,.15507181,.35543323,,All adjustors
3,1.male,Dementia,-.15946996,.31404155,,All adjustors
4,1.male,Dementia,.65658319,.4828614,,All adjustors
5,1.male,Dementia,-39.944077,11042.663,,All adjustors
6,1.male,Dementia,.43417361,.31516942,,All adjustors
